Unnamed: 0,Article ID,Article Name,Paragraph,Original,English,Google,Gemini,ChatGPT,English - Google,English - Gemini,English - ChatGPT
10,1,Bai Ganyo Sets Off Bul,4,"– Остави се, брате, изпотрепах се от бяг...","“Don’t even ask, pal; I’m worn out from running.”","– Leave it alone, brother, I'm shaking from running...","– Don’t even ask, brother, I’ve run myself ragged...","– Let it be, brother, I’m worn out from running...",0.48127925,0.4233341,0.6769682
11,1,Bai Ganyo Sets Off Bul,5,"– Какъв бяг, бай Ганьо?","“What running, Bai Ganyo?”","– What kind of escape, Uncle Ganyo?","– What a run, Bay Ganyo?","– What running, Bay Ganyo?",0.46605194,0.58193576,0.72762764
12,1,Bai Ganyo Sets Off Bul,6,– А бе какъв бяг! Ти нали беше се зазяпал там в гостилницата...,"“What do you mean, what running? Weren’t you just hanging out at the restaurant staring all around?”",– What a run! You were staring at me there in the inn...,"– Come on, what escape! Weren't you just gawking there in the inn...","– What do you mean, running away! Weren’t you just staring off over there in the tavern...",0.56909865,0.32094768,0.57595736
13,1,Bai Ganyo Sets Off Bul,7,– Е? – отвръщам аз.,“So?” I responded.,“Well?” I reply.,– Well? – I reply.,– So? – I reply.,0.7344521,0.70152,0.8126047
14,1,Bai Ganyo Sets Off Bul,8,"– Е? В туй време, разбираш ли, оня до вратата задрънка звънеца, па чух, че свирна машината, излизам – не можех да ти се обадя, – гледам, нашият трен потегли. Бре! Килимчето ми! Та като хукнах подир него, па бяг, па тичане – остави се! Хеле по едно време, гледам, поспря се, и аз – хоп! – та вътре. Един ми поизвика нещо сепнато - хекѐ-мекѐ – аз, знаеш, не си поплювам, пооблещих му се насреща, показах му килимчето, нейсе, разбран човек излезе. Позасмя се даже. Кой да знае, че ще се връщаме пак назад. Унгарска работа!","“So! At that moment, ’yknow, that guy by the door rang the bell and I heard the engine whistle and I went out—I couldn’t catch your eye—and I see our train pulling out. Hey, my kilim! I make a mad dash for it, running as fast as my legs could carry me—but never mind. Finally, at one point I see that the train has stopped and so, upsy-daisy, I jump on and go inside. I startled some guy and he shouted something at me in Hungarian—heke meke—and me, you know, I don’t put up with any nonsense. I opened my eyes wide and stared right back at him and showed him my kilim. No big deal, the guy was sensible and went away. He even laughed a little. How could anyone know that we would be coming back? These Magyars!”","– Well? At that time, you see, the one by the door rang the bell, and I heard the machine whistle, I'm going out – I couldn't call you, – look, our train has left. Wow! My little rug! So when I ran after it, then ran, then ran – let it go! At one point, I look, it stopped, and I – hop! – and inside. Someone shouted something startled to me - heke-meke - I, you know, don't spit, I turned around to meet him, showed him the rug, well, a wise man came out. He even laughed. Who knows, we'll be going back again. Hungarian work!","– Well? Right then, you see, that fellow by the door started clanging the bell, then I heard the engine whistle, I go out—I couldn't even call out to you—and I see our train has started moving. Good grief! My rug! So I dashed after it, running and sprinting—don't even ask! Finally, at one point, I see it slowing down, and I—hop!—right inside. Someone shouted something at me, all startled—mumbo-jumbo—but I, you know, I don't take any nonsense, I glared back at him, showed him the rug, and well, he turned out to be a reasonable fellow. He even gave a little laugh. Who was to know we’d be heading back again? Hungarian business!","– Well? At that time, you know, the fellow by the door rang the bell, then I heard the machine whistle; I go out — I couldn’t call you — and I see our train has pulled off. Good grief! My little rug! So I took off after it, running and running — never mind! After a while, I see it slowed down, and I — hop! — right inside. One man shouted something startled at me — heke-meke — but I, as you know, don’t take nonsense from anyone; I glared back at him, showed him the rug, and, well, he turned out to be a sensible man. He even laughed a little. Who could have known we’d be going back again. Hungarian business!",0.8196143,0.7812062,0.8425133
15,1,Bai Ganyo Sets Off Bul,9,"Аз, грешен човек, от душа се смях на бай Ганьовото приключение. Бедният! Тренът маневрирал да влезе в друга линия, а бай Ганьо тичал, горкият, цели три километра да го гони – зер килимчето му вътре!...","Sinner that I am, I had a good laugh at Bai Ganyo’s adventure. Poor guy. The train was maneuvering to come in on another track, and Bai Ganyo, poor fellow, ran three whole kilometers to catch up to it—after all, his kilim was inside.","I, a sinful man, laughed heartily at Bai Ganyo's adventure. Poor thing! The train maneuvered to enter another line, and Bai Ganyo ran, poor thing, for three kilometers chasing him - because of his rug inside!...","I, sinner that I am, laughed heartily at Bay Ganyo’s adventure. Poor fellow! The train was merely maneuvering to switch tracks, but poor Bay Ganyo ran for three whole kilometers chasing after it—for his little rug was inside!...","I, a sinful man, laughed from the soul at Bay Ganyo’s adventure. Poor fellow! The train had maneuvered to enter another line, and Bay Ganyo ran, the poor man, a whole three kilometers to chase it—after all, his little rug was inside!...",0.8661412,0.788822,0.7593481
16,1,Bai Ganyo Sets Off Bul,10,"– Ами ти, от бързане, забравил си да заплатиш бирата си, бай Ганьо.","“But in your haste you forgot to pay for your beer, Bai Ganyo.”","– Well, in your hurry, you forgot to pay for your beer, Uncle Ganyo.","– Well, in your haste, you forgot to pay for your beer, Bay Ganyo.","– Well, you, in your haste, forgot to pay for your beer, Bay Ganyo.",0.6824851,0.69261956,0.69298327
17,1,Bai Ganyo Sets Off Bul,11,"– Голяма работа! Те малко ли ни скубят – отговори бай Ганьо с един тон, нетърпящ възражение.","“Big deal. As if they don’t fleece us enough,” answered Bai Ganyo in a tone that did not brook contradiction.","""A big deal! They're just stealing from us,"" replied Bai Ganyo in a tone that brooked no objection.",– Big deal! They fleece us enough as it is – replied Bay Ganyo in a tone that brooked no argument.,– Big deal! Don’t they fleece us enough? – replied Bay Ganyo in a tone that brooked no argument.,0.7926853,0.67959654,0.6951916
18,1,Bai Ganyo Sets Off Bul,12,– Аз я платих.,“I paid for it.”,– I paid for it.,– I paid it.,– I paid for it.,0.6710098,0.61852,0.6710098
19,1,Bai Ganyo Sets Off Bul,13,"– Имал си бол пари – платил си я. Я качвай се, качвяй се по-скоро да не припкаме пак подир машината – каза наставнически бай Ганьо.","“You had plenty of money, apparently, so you paid for it. Come on, get in, get in quickly so we don’t go running around after the engine again,” Bai Ganyo admonished.","“You had more money – you paid for it. Get in, get in quickly so we don't have to run after the machine again,” said Uncle Ganyo in a mentoring tone.","– You had money to burn, so you paid for it. Come on, get on, get on quickly so we don't have to go scurrying after the train again – said Bay Ganyo patronizingly.","– You had the money, you paid for it. Now get on, get on quickly so we don’t have to run after the train again – said Bay Ganyo in a patronizing tone.",0.71609163,0.6478158,0.6397067
20,1,Bai Ganyo Sets Off Bul,14,"Влязохме във вагона. Бай Ганьо приклекна над дисагите си гърбом към мене, извади половин пита кашкавял, отряза си едно деликатно късче, отряза и един огромен резен хляб и почна дя мляска с един чудесен апетит, като издувяше със залъците си ту единия, ту другия образ и час по час опъваше шията си, за да може да преглътне сухия хлебец. Нахрани се бай Ганьо, пооригна се веднъж-дваж, изтърси трохите в шепата си, глътна и тях, измъмра под носа си: „Ех, да има сега иякой да ме почерпи едно винце“, седна насреща ми, засмя се добродушно и след като ме гледа умилно цяла минута, рече:","We entered the car. Bai Ganyo bent over his disagi with his back to me, pulled out half a wheel of hard cheese, cut himself a dainty little slice, cut himself a huge hunk of bread as well, and began to chomp away with a prodigious appetite, filling first one cheek and then the other with his mouthfuls, and stretching his neck from time to time in order to swallow the dry bread. Bai Ganyo ate his fill, belched once or twice, shook the crumbs into his palm, swallowed them, too, and muttered under his breath,“Eh, if only there were someone to treat me to a nice little glass of wine.” He sat down across from me, smiled good-naturedly, and, after gazing at me kindly for an entire minute, said,","We got into the carriage. Bai Ganyo crouched over his saddlebags with his back to me, took out half a pie of cheese, cut off a delicate piece, also cut off a huge slice of bread and began to munch with a wonderful appetite, blowing out one face, then the other with his lips and hour after hour stretching his neck so that he could swallow the dry bread. Bai Ganyo ate, burped once or twice, shook the crumbs into his hand, swallowed them too, muttered under his breath: ""Oh, now someone should buy me a glass of wine,"" sat down opposite me, laughed good-naturedly and after looking at me affectionately for a whole minute, said:","We entered the carriage. Bay Ganyo crouched over his saddlebags with his back to me, took out half a wheel of kashkaval, cut himself a delicate little piece, cut an enormous slice of bread as well, and began to smack his lips with a wonderful appetite, puffing out first one cheek, then the other with his mouthfuls, and every now and then stretching his neck so he could swallow the dry bread. Bay Ganyo finished his meal, belched once or twice, shook the crumbs into his palm and swallowed them too, then muttered under his breath: ""Eh, if only there were someone to treat me to a little wine now,"" sat down opposite me, laughed good-naturedly, and after looking at me wistfully for a whole minute, said:","We entered the carriage. Bay Ganyo crouched over his saddlebags with his back to me, took out half a loaf of yellow cheese, cut himself a delicate little piece, cut a huge slice of bread as well, and began to munch with splendid appetite, puffing out first one cheek and then the other with each mouthful, and every now and then stretching out his neck so he could swallow the dry bread. Bay Ganyo finished eating, belched once or twice, shook the crumbs into his palm, swallowed those too, muttered under his breath, “Ah, if only someone would treat me to a little wine now,” sat down opposite me, smiled good-naturedly, and after looking at me affectionately for a whole minute, said:",0.8974981,0.732931,0.7438116
21,1,Bai Ganyo Sets Off Bul,15,"– Твоя милост, ходил ли си, обикалял ли си тъй повечко свят?","“Has Your Grace traveled, have you seen something of the world?”","– Your Grace, have you ever traveled, have you ever traveled around the world so much?","– Your Grace, have you traveled, have you seen much of the world?","– Your Grace, have you traveled, have you wandered around the world so much?",0.82691514,0.86246496,0.8506297
22,1,Bai Ganyo Sets Off Bul,16,"– Ходил съм, бай Ганьо, доста.","“I’ve traveled quite a bit, Bai Ganyo.”","– I've been there, Uncle Ganyo, quite a bit.","– I have traveled quite a bit, Bay Ganyo.","– I have traveled quite a bit, Bay Ganyo.",0.48303145,0.67655504,0.67655504
23,1,Bai Ganyo Sets Off Bul,17,"– Ии, ами аз що свят съм изтръшнал! Ц... ц... ц... Ти остави Едрене, Цариград, ами във Влашко! Ти вярвяш ли? Туй Гюргево, Турну Магурели, Плоещ, Питещ, Бряила, Букурещ, Галац – чакай да не те слъжа, в Галац не помня бях ли, не бях ли – всички съм ги изредил.","“Really now, well, as for me, ’Ive been all over the place. Tsk! Tsk! Tsk! Never mind Edirne, Constantinople, but even Romania! Would you believe it? Giurgevo, Turnu Magureli, Ploeşti, Piteşti, Brăila, Bucharest, Galaţi—hang on, I don’t want to exaggerate; I can’t remember if I’ve been to Galaţi or not—I’ve been to all of them.”","– Oh, what a world I have been through! T... t... t... You left Edirne, Constantinople, what about Wallachia! Do you believe it? Here, Giurgiu, Turnu Magureli, Ploiesti, Piteşti, Braila, Bucharest, Galati – wait, I'm not lying to you, I don't remember if I was in Galati or not – I've listed them all.","– Oh, the world I’ve tramped through! Tsk... tsk... tsk... Never mind Edirne, Constantinople, but in Wallachia! Would you believe it? Giurgiu, Turnu Măgurele, Ploiești, Pitești, Brăila, Bucharest, Galați – wait, let me not lie to you, I don't remember if I was in Galați or not – I’ve been through them all.","– Oh, well, what a world I’ve knocked about in! C... c... c... You leave aside Edirne, Constantinople, but in Wallachia! Do you believe it? That Giurgiu, Turnu Măgurele, Ploiești, Pitești, Brăila, Bucharest, Galați – wait, so I don’t lie to you, I don’t remember whether I was in Galați or not – I’ve been through them all.",0.8406862,0.87824404,0.83842456
24,1,Bai Ganyo Sets Off Bul,18,"Пътят ни до Виена мина еднообразно. Аз предлолих на бай Ганя една от книжките си, за да си съкрати времето с четене, но той любезно отклони предложението ми, защото бил чел доста на времето, и счете за по-практично да си дремне. Защо ще стои бадева буден; тьй и тъй е дал пари за железницата, поне да се наспи. И заспа. Заспа и захърка така, че не ти трябва да слушаш рева ня Атлаския лев.","The trip to Vienna passed monotonously. I offered one of my books to Bai Ganyo to make the time pass more quickly, but he politely refused my offer, because, he said, he’d read enough in his time and considered it more practical to take a nap. Why stay awake for nothing; after all, he had paid good money for a place on the train, so he might as well get some sleep. And he fell asleep. He fell asleep and began to snore so loudly that, once you’d heard him, there was no need to hear a Barbary lion.","Our journey to Vienna was uneventful. I offered Uncle Ganya one of my books to help him read, but he politely declined my offer, because he had read a lot in his time, and thought it more practical to take a nap. Why should he stay awake like that? He paid for the railway anyway, so he can at least get some sleep. And he fell asleep. He fell asleep and snored so much that you don't need to listen to the roar of the Atlas Lion.","Our journey to Vienna passed monotonously. I offered Bai Ganyo one of my books to pass the time reading, but he politely declined my offer, as he had read enough in his day, and considered it more practical to take a nap. Why should he stay awake for nothing; since he had paid for the railway anyway, he might as well get some sleep. And he fell asleep. He fell asleep and snored so loudly that you wouldn't need to hear the roar of an Atlas lion.","Our journey to Vienna passed monotonously. I offered Bay Ganyo one of my books so he could shorten the time by reading, but he politely declined my suggestion, because he had read quite a lot in his time, and considered it more practical to take a nap. Why should he stay awake for nothing; after all, he had paid for the railway, so at least he might as well get some sleep. And he fell asleep. He fell asleep and snored so loudly that you would not need to listen to the roar of the Atlas lion.",0.86534667,0.9590963,0.9203274
25,1,Bai Ganyo Sets Off Bul,19,"Стигнахме във Виена и спряхме в традиционният хотел „Лондон“. Слугите снеха от колата моята чанта, поискаха да вземат и бай Ганьовите дисаги, но той от деликатност ли, кой знае, не им ги даде:","We arrived in Vienna and went to the traditional Hotel London. The hotel porters took my bag down from the cab, and they wanted to take Bai Ganyo’s disagi, but whether out of thoughtfulness, or who knows what, he wouldn’t give them up:","We arrived in Vienna and stopped at the traditional London Hotel. The servants took my bag from the car and asked to take Bai Gagne's saddlebags, but perhaps out of delicacy, who knows, he didn't give them to them:","We arrived in Vienna and stopped at the traditional Hotel London. The servants took my bag down from the carriage and wanted to take Bay Ganyo’s saddlebags as well, but he—whether out of delicacy, who knows—did not give them up:","We arrived in Vienna and stopped at the traditional hotel “London.” The servants took my bag from the carriage and asked to take Uncle Ganyo’s saddlebags as well, but he, out of delicacy or who knows why, did not give them to them:",0.7328646,0.7299223,0.7287458
26,1,Bai Ganyo Sets Off Bul,20,"– Как ще им ги дадеш бе, братко, гюл е това – не е шега, миризма силна, – ще бръкне да извади някое шише – иди го гони сетне! Знам ги аз тях. Ти не ги гледай, че са такива   м а з н и   (бай Ганьо искаше да каже   у ч т и в и,   но тая дума е още нова в нашия лексикон, забрявя се), не гледай, че се увиват около тебе. Защо се увиват? Мигар доброто ти мислят? Айнц, цвай! Гут моргин, па все гледат да докопат нещо. Ако не – бакшиш! Аз защо пазя на излизане от хотела да се изнижамълчешката... Просеци! На тогоз крайцер, на оногоз крайцер – няма изкарване!","“How can you give these to them, pal? This is rose oil—it’s no joke, it’s a real strong fragrance; he’ll reach in, palm a bottle—just try to chase him down later! I know what these guys are like. You don’t see it because they’re so slick”—Bai Ganyo meant to say “polite,” but that word is still new in our lexicon, so it gets forgotten—”You don’t see how they hover around you. Why are they hovering? You think they want to do you a favor? Ein, zwei, gut morgin, but all the time they’re trying to swipe something from you. And if not that, then a tip. Why do you think I’m so careful to slip quietly out of the hotel. Beggars! This one gets a kreutzer, that one gets a kreutzer—there’s no end to it.”","– How are you going to give them to them, brother, this is a gyul – it’s no joke, the smell is strong, – he’ll reach out to take out a bottle – go chase him then! I know them. Don’t look at them because they’re so sweet (bye Ganyo wanted to say polite, but that word is still new in our lexicon, I forget), don’t look at them because they’re wrapping themselves around you. Why are they wrapping themselves around you? Do they mean you well? Ainz, zwei! Gut morgin, they’re always trying to get something. If not – tip! Why do I keep quiet when leaving the hotel… Beggars! On this cruiser, on that cruiser – there’s no way out!","– How can you just give it to them, brother? This is rose oil—it’s no joke, the scent is strong—he’ll reach in and snatch a vial—go chase him then! I know their kind. Don’t you look at them being so o i l y (Bay Ganyo wanted to say p o l i t e, but that word is still new in our lexicon, it gets forgotten), don’t look at how they fawn over you. Why do they fawn? Do you really think they mean you well? Eins, zwei! Gut morgin, yet they’re always looking to grab something. If not—a tip! Why do you think I make sure to sneak out of the hotel quietly... Beggars! A kreutzer for this one, a kreutzer for that one—there’s no making a living!","– How are you going to give them to him, brother? It’s rose oil—no joke, it’s got a strong smell; he’ll reach in and pull out some bottle—then go chase him! I know them. Don’t you look at them as if they’re so   p o l i t e   (Bay Ganyo wanted to say   c o u r t e o u s,   but that word is still new in our lexicon; he forgot it), don’t look at the way they swarm around you. Why do they swarm? Do you think they mean you well? *Eins, zwei!* *Guten Morgen*, and all the while they’re looking to grab something. If not—then a tip! Why do I keep watch at the hotel exit so I can slip out quietly... Beggars! A cruiser for this one, a cruiser for that one—there’s no getting out of it!",0.8151078,0.8509488,0.81295794
27,1,Bai Ganyo Sets Off Bul,21,"Тъй като розовото масло, което носеше бай Ганьо, беше действително доста ценен предмет, аз му препоръчах да го предаде за съхранение на касата.","Since the rose oil that Bai Ganyo was carrying really was a rather valuable commodity, I suggested that he leave it with the cashier at the hotel desk for safekeeping.","Since the rose oil that Bai Gagno was carrying was indeed a rather valuable item, I recommended that he hand it over to the cashier for safekeeping.","Since the rose oil Bay Ganyo was carrying was indeed a quite valuable item, I recommended that he hand it over to the cashier for safekeeping.","Since the rose oil that Bay Ganyo was carrying was indeed a rather valuable item, I recommended that he hand it over to the safe for safekeeping.",0.8948164,0.8122866,0.81518894
