Article ID,Article Name,Paragraph,Original,English,Google,Gemini,ChatGPT,English - Google,English - Gemini,English - ChatGPT
1,Bul Political Forces,11,"На въпрос с каква заявка влиза ""Възраждане"" и дали ще подкрепя част от законопроектите или ще бъде изцяло в опозиция, Петров посочи, че партията ще подкрепи смяната на ВСС от парламентарната квота, както и законодателни промени, които да спрат инфлацията.","Asked what stance Vazrazhdane is taking and whether it will support some bills or remain entirely in opposition, Petrov said the party would support replacing the parliamentary quota of the Supreme Judicial Council, as well as legislative changes aimed at curbing inflation.","When asked what kind of request ""Vazrazhdane"" is entering and whether it will support some of the bills or be entirely in opposition, Petrov indicated that the party will support the removal of the Supreme Judicial Council from the parliamentary quota, as well as legislative changes to stop inflation.","When asked what agenda ""Vazrazhdane"" is entering with and whether it will support some of the bills or be entirely in opposition, Petrov indicated that the party will support the replacement of the SJC (Supreme Judicial Council) from the parliamentary quota, as well as legislative changes to stop inflation.","On the question of what stance ""Vazrazhdane"" is taking and whether it will support some of the bills or be entirely in opposition, Petrov pointed out that the party will support the replacement of the Supreme Judicial Council from the parliamentary quota, as well as legislative changes aimed at stopping inflation.",,,
1,Bul Political Forces,12,"Петдесет и второто Народното събрание ще бъде свикано в четвъртък в 10:00 ч., каза президентът","The 52nd National Assembly will be convened on Thursday at 10:00 a.m., said President Iliana Iotova.","The Fifty-Second National Assembly will convene on Thursday at 10:00 a.m., the President said.","The 52nd National Assembly will be convened on Thursday at 10:00 a.m., the president said.","The Fifty-Second National Assembly will be convened on Thursday at 10:00 a.m., said the president.",,,
2,Bul Bulgarian Airline,1,Дирекция „Архиви и Справочна“ на БТА получи отличието на Асоциацията на българските авиокомпании за принос в опазването на историческата памет (28.04.2026 15:16),Bulgarian Airline Association Presents Awards for Contributions to Aviation Heritage and Media Coverage (28.04.2026 15:52),BTA's Archives and Reference Directorate received the award from the Association of Bulgarian Airlines for contribution to the preservation of historical memory (28.04.2026 15:16),"BTA's ""Archives and Reference"" Directorate received the award of the Association of Bulgarian Airlines for contribution to the preservation of historical memory (28.04.2026 15:16)",Directorate “Archives and Reference” of BTA received the award of the Association of Bulgarian Airlines for contribution to preserving historical memory (28.04.2026 15:16),,,
2,Bul Bulgarian Airline,2,"Дирекция „Архиви и Справочна“ на Българската телеграфна агенция (БТА) получи награда от Асоциацията на българските авиокомпании за принос в опазването на историческата памет на „Българска гражданска авиация"" (БГА). Отличието бе връчено на официална церемония в хотел ""Вега"" в София, а наградата прие Десислава Севова, директор на дирекция „Архиви и Справочна“ в БТА.",The Bulgarian Airlines Association (ABA) presented a series of awards recognizing contributions to preserving the historical memory of Bulgarian civil aviation and the professional coverage of aviation-related topics at an official ceremony held at Hotel Vega Sofia on Tuesday.,"The Archives and Reference Directorate of the Bulgarian Telegraph Agency (BTA) received an award from the Association of Bulgarian Airlines for its contribution to the preservation of the historical memory of Bulgarian Civil Aviation (BGA). The award was presented at an official ceremony at the Vega Hotel in Sofia, and the award was accepted by Desislava Sevova, Director of the Archives and Reference Directorate at BTA.","The ""Archives and Reference"" Directorate of the Bulgarian News Agency (BTA) received an award from the Association of Bulgarian Airlines for its contribution to preserving the historical memory of ""Bulgarian Civil Aviation"" (BGA). The distinction was presented at an official ceremony at the Vega Hotel in Sofia, and the award was accepted by Desislava Sevova, Director of the ""Archives and Reference"" Directorate at BTA.","The “Archives and Reference” Directorate of the Bulgarian News Agency (BTA) received an award from the Association of Bulgarian Airlines for its contribution to preserving the historical memory of “Bulgarian Civil Aviation” (BGA). The distinction was presented at an official ceremony at the Vega Hotel in Sofia, and the award was accepted by Desislava Sevova, director of the “Archives and Reference” directorate at BTA.",,,
2,Bul Bulgarian Airline,3,"Тя изрази признателност за отличието и го определи като висока оценка не само за личната ѝ работа, но и за усилията и професионализма на екипа, който ръководи. По думите ѝ наградата се възприема като признание за значението на архивната дейност и като уважение към поколенията журналисти и служители, работили в 128-годишната история на БТА и оставили своя принос.","Among the recipients was the Archives and Reference Directorate of the Bulgarian News Agency (BTA), which received an award for its contribution to preserving the historical memory of Bulgarian Civil Aviation. The distinction was accepted by the Archives and Reference Directorate Director Desislava Sevova, who said the award was recognition not only of her personal work, but also of the professionalism and efforts of her entire team.","She expressed her gratitude for the award and described it as a high assessment not only of her personal work, but also of the efforts and professionalism of the team she leads. According to her, the award is perceived as a recognition of the importance of archival work and as a respect for the generations of journalists and employees who have worked in the 128-year history of BTA and left their contribution.","She expressed her gratitude for the distinction, describing it as a high recognition not only of her personal work but also of the efforts and professionalism of the team she leads. According to her, the award is seen as recognition of the importance of archival work and as a sign of respect for the generations of journalists and employees who have worked throughout the 128-year history of BTA and made their contribution.","She expressed her gratitude for the distinction and described it as a high recognition not only of her personal work, but also of the efforts and professionalism of the team she leads. According to her, the award is seen as recognition of the importance of archival work and as respect for the generations of journalists and employees who have worked throughout the 128-year history of BTA and have made their contribution.",,,
2,Bul Bulgarian Airline,4,"Севова подчерта, че истинските новини днес създават историята на утрешния ден, а мисията на архива е да я съхранява.","She noted that the distinction acknowledges the importance of archival work and pays respect to generations of journalists and employees who have contributed to BTA's 128-year history. According to her, true news today creates the history of tomorrow, and the mission of the archive is to preserve it.","Sevova emphasized that today's real news creates tomorrow's history, and the mission of the archive is to preserve it.","Sevova emphasized that today's real news creates tomorrow's history, and the mission of the archive is to preserve it.","Sevova emphasized that the real news of today creates the history of tomorrow, and the archive’s mission is to preserve it.",,,
2,Bul Bulgarian Airline,5,Със същото отличие за принос в опазването на историческата памет бе награден и Антон Митов от дирекция „Архивен фонд“ на Българското национално радио (БНР).,The same award for preserving historical memory was also presented to Anton Mitov from the Archives Directorate of the Bulgarian National Radio.,Anton Mitov from the Archive Fund Directorate of the Bulgarian National Radio (BNR) was also awarded the same distinction for his contribution to the preservation of historical memory.,"Anton Mitov from the ""Archive Fund"" Directorate of the Bulgarian National Radio (BNR) was also awarded the same distinction for his contribution to the preservation of historical memory.","With the same distinction for contribution to the preservation of historical memory, Anton Mitov from the “Archival Fund” Directorate of the Bulgarian National Radio (BNR) was also awarded.",,,
2,Bul Bulgarian Airline,6,"АБА присъди и награда - статуетка „Полет“ за опазване на историческото наследство и принос към развитието на БГА, на Института по въздушен транспорт, наричан „Ковачницата на авиационни кадри“, който тази година отбелязва 55-годишнина от своето създаване. Отличието бе прието от управителя на института и почетен председател на АБА Светослав Станулов. Наградата му бе връчена от председателя на Асоциацията на индустриалния капитал в България Румен Радев.","ABA also awarded its ""Flight"" statuette for preserving historical heritage and contribution to the development of Bulgarian civil aviation to the Institute of Air Transport, which this year marks its 55th anniversary. The award was accepted by its manager and honorary ABA chairman Svetoslav Stanulov and presented by the head of the Bulgarian Industrial Capital Association (BICA) Management Board, Rumen Radev.","ABA also awarded an award - a statuette ""Flight"" for the preservation of the historical heritage and contribution to the development of the Bulgarian Air Transport Association, to the Institute of Air Transport, called the ""Forge of Aviation Personnel"", which this year celebrates the 55th anniversary of its establishment. The award was accepted by the director of the institute and honorary chairman of ABA Svetoslav Stanulov. The award was presented to him by the chairman of the Association of Industrial Capital in Bulgaria Rumen Radev.","ABA also presented an award – the ""Flight"" statuette for the preservation of historical heritage and contribution to the development of Bulgarian Civil Aviation – to the Air Transport Institute, known as the ""Forge of Aviation Personnel,"" which marks its 55th anniversary this year. The distinction was accepted by the manager of the institute and honorary chairman of ABA, Svetoslav Stanulov. The award was presented to him by the Chairman of the Bulgarian Industrial Capital Association, Rumen Radev.","The ABA also awarded a prize — the statuette “Flight” — for the preservation of historical heritage and contribution to the development of the BGA, to the Institute of Air Transport, known as the “Forge of Aviation Personnel,” which this year marks the 55th anniversary of its establishment. The award was accepted by the institute’s manager and honorary chairman of the ABA, Svetoslav Stanulov. The prize was presented to him by Rumen Radev, chairman of the Association of Industrial Capital in Bulgaria.",,,
2,Bul Bulgarian Airline,7,"Статуетка „Полет“ за цялостен принос и коректно отразяване на авиационната тематика бе присъдена на вестник „24 часа“, който отбелязва 35 години от създаването си. Отличието бе връчено от председателя на АБА Йовко Йоцев, а наградата прие Иван Михалев, търговски директор на изданието.","The ""Flight"" statuette for overall contribution and accurate aviation coverage was awarded to 24 Chasa on the occasion of its 35th anniversary. The prize was presented by ABA Chairman Yovko Yotsev and accepted by Ivan Mihalev.","The ""Flight"" statuette for overall contribution and accurate coverage of aviation topics was awarded to the newspaper ""24 Chasa"", which celebrates its 35th anniversary. The distinction was presented by the Chairman of the Bulgarian Association of Newspapers, Yovko Yotsev, and the award was accepted by Ivan Mihalev, the publication's commercial director.","The ""Flight"" statuette for overall contribution and accurate coverage of aviation topics was awarded to the ""24 Chasa"" newspaper, which is celebrating its 35th anniversary. The distinction was presented by the Chairman of the ABA, Yovko Yotsev, and the award was accepted by Ivan Mihalev, the publication's Commercial Director.","The statuette “Flight” for overall contribution and accurate coverage of aviation topics was awarded to the newspaper “24 Chasa,” which is marking 35 years since its founding. The award was presented by ABA Chairman Yovko Yotsev, and the prize was accepted by Ivan Mihalev, the publication’s commercial director.",,,
2,Bul Bulgarian Airline,8,"Живко Константинов получи награда за създаването на сайта „Травъл радар“ и за серия от филми на авиационна тематика. Отличието му бе връчено от заместник-министъра на транспорта и съобщенията Димитър Недялков. Недялков отбеляза, че пред българската авиация стои трудна година, но подчерта, че 2025 г. е била изключително успешна и изрази надежда през 2026 г. да бъдат постигнати същите добри резултати.","Zhivko Konstantinov received an award for creating the website Travel Radar and for a series of aviation-themed films. The distinction was presented by Deputy Transport and Communications Minister Dimitar Nedyalkov, who noted that Bulgarian aviation faces a challenging year, while expressing hope that 2026 would repeat the strong results achieved in 2025.","Zhivko Konstantinov received an award for the creation of the website ""Travel Radar"" and for a series of films on aviation themes. The award was presented to him by the Deputy Minister of Transport and Communications Dimitar Nedyalkov. Nedyalkov noted that Bulgarian aviation faces a difficult year, but emphasized that 2025 was extremely successful and expressed hope that the same good results will be achieved in 2026.","Zhivko Konstantinov received an award for the creation of the ""Travel Radar"" website and for a series of aviation-themed films. The distinction was presented to him by the Deputy Minister of Transport and Communications, Dimitar Nedyalkov. Nedyalkov noted that a difficult year lies ahead for Bulgarian aviation, but emphasized that 2025 was extremely successful and expressed hope that the same good results would be achieved in 2026.","Zhivko Konstantinov received an award for creating the “Travel Radar” website and for a series of aviation-themed films. The award was presented to him by the Deputy Minister of Transport and Communications, Dimitar Nedyalkov. Nedyalkov noted that the Bulgarian aviation sector faces a difficult year ahead, but emphasized that 2025 had been extremely successful and expressed hope that the same good results would be achieved in 2026.",,,
2,Bul Bulgarian Airline,9,С награда за цялостен принос и опазване на историческата памет бе отличен и Драгомир Драганов от Българската национална телевизия (БНТ).,An award for overall contribution and preserving historical memory also went to Dragomir Draganov of the Bulgarian National Television.,Dragomir Draganov was also honored with an award for overall contribution and preservation of historical memory by the Bulgarian National Television (BNT).,Dragomir Draganov from the Bulgarian National Television (BNT) was also honored with an award for overall contribution and preservation of historical memory.,Dragomir Draganov from the Bulgarian National Television (BNT) was also honored with an award for overall contribution and the preservation of historical memory.,,,
2,Bul Bulgarian Airline,10,"За коректно отразяване на авиационната тематика отличия получиха още Запрян Запрянов от Нова телевизия, Станчо Станчев от bTV, както и сутрешният блок на „Евронюз България“.","Additional awards for accurate aviation coverage were presented to Zapryan Zapryanov of Nova Television, Stancho Stanchev of bTV, and the morning programme of Euronews Bulgaria.","Zapryan Zapryanov from Nova Television, Stancho Stanchev from bTV, as well as the morning block of Euronews Bulgaria, also received awards for correct coverage of aviation topics.","Awards for accurate coverage of aviation topics were also presented to Zapryan Zapryanov from Nova TV, Stancho Stanchev from bTV, and the morning show of Euronews Bulgaria.","For accurate coverage of aviation topics, awards were also presented to Zapryan Zapryanov from Nova TV, Stancho Stanchev from bTV, as well as the morning block of “Euronews Bulgaria.”",,,
2,Bul Bulgarian Airline,11,"Отличие за принос в представянето на връзката между туризма и авиацията бе присъдено на сайта Bgtourism.bg, който освен наградата на АБА, получи и статуетка от авиокомпания „Електра“.","The website Bgtourism.bg received an award for highlighting the connection between tourism and aviation, along with a statuette from airline Electra Airways.","An award for contribution to the presentation of the connection between tourism and aviation was awarded to the website Bgtourism.bg, which, in addition to the ABA award, also received a statuette from Electra Airlines.","An award for contribution to presenting the link between tourism and aviation was presented to the website Bgtourism.bg, which, in addition to the ABA award, also received a statuette from Electra Airways.","An award for contribution to presenting the connection between tourism and aviation was presented to the Bgtourism.bg website, which, in addition to the ABA award, also received a statuette from the airline “Electra.”",,,
2,Bul Bulgarian Airline,12,"С награда за коректно отразяване на авиационната тематика беше отличен и Мирослав Иванов, главен редактор на сайта TravelNews.","Miroslav Ivanov, editor-in-chief of TravelNews, was also recognized for accurate reporting on aviation topics.","Miroslav Ivanov, editor-in-chief of the TravelNews website, was also awarded an award for accurate coverage of aviation topics.","Miroslav Ivanov, editor-in-chief of the TravelNews website, was also honored with an award for accurate coverage of aviation topics.","Miroslav Ivanov, editor-in-chief of the TravelNews website, was also awarded for accurate coverage of aviation-related topics.",,,
3,Bul Bulgarian Cultural,1,"Изложбата „За свободата на един народ“, посветена на 150-та годишнина на Априлското въстание, беше открита в Българския културно-информационен център в Скопие (28.04.2026 20:35)",Bulgarian Cultural Centre in Skopje Hosts Exhibition Marking 150th Anniversary of April Uprising (28.04.2026 21:23),"The exhibition ""For the Freedom of a People"", dedicated to the 150th anniversary of the April Uprising, was opened at the Bulgarian Cultural and Information Center in Skopje (28.04.2026 20:35)","The exhibition ""For the Freedom of a People,"" dedicated to the 150th anniversary of the April Uprising, was opened at the Bulgarian Cultural and Information Center in Skopje (28.04.2026 20:35)","The exhibition “For the Freedom of a Nation,” dedicated to the 150th anniversary of the April Uprising, was opened at the Bulgarian Cultural and Information Center in Skopje (28.04.2026 20:35)",,,
3,Bul Bulgarian Cultural,2,"Изготвената по повод 150-ата годишнина от избухването на Априлското въстание от Националната библиотека „Св. св. Кирил и Методий“ и Държавна агенция „Архиви“ изложба „За свободата на един народ“, беше бъде открита в Българския културно-информационен център в Скопие.","On the occasion of the 150th anniversary of the April Uprising, the exhibition ""For the Freedom of a Nation”, organized by the St. St. Cyril and Methodius National Library and the State Archives Agency, opened at the Bulgarian Cultural and Information Centre in Skopje on Tuesday.","The exhibition ""For the Freedom of a People"", prepared on the occasion of the 150th anniversary of the outbreak of the April Uprising by the National Library ""St. Cyril and Methodius"" and the State Agency ""Archives"", was opened at the Bulgarian Cultural and Information Center in Skopje.","The exhibition ""For the Freedom of a People,"" prepared by the St. St. Cyril and Methodius National Library and the Archives State Agency on the occasion of the 150th anniversary of the outbreak of the April Uprising, was opened at the Bulgarian Cultural and Information Center in Skopje.","The exhibition “For the Freedom of a Nation,” prepared on the occasion of the 150th anniversary of the outbreak of the April Uprising by the National Library “St. St. Cyril and Methodius” and the State Agency “Archives,” was to be opened at the Bulgarian Cultural and Information Center in Skopje.",,,
