,Article ID,Article Name,Paragraph,Georgian,English,Google,Gemini,ChatGPT,English - Google,English - Gemini,English - ChatGPT
10,1,Ge Original Ipn News,3,"ისევე როგორც პრემიერ-მინისტრს, ვიცე-პრემიერსაც, სამართალდამცავი ორგანოების კოორდინაციის საკითხებში სახელმწიფო მინისტრსაც მთლიანად მთავრობის ადმინისტრაციის რესურსი მოემსახურება - თავადაც ხვდებით, აქ საქილიკო არაფერია, თუმცა ოპოზიცია აქაც ახერხებს სპეკულაციების გავრცელებას - ეს მათი სახეა და არ არის საინტერესო, - ამის შესახებ პრემიერ-მინისტრმა, ირაკლი კობახიძემ ჟურნალისტებთან განაცხადა.","“Just like the Prime Minister and the Vice Prime Minister, the State Minister for Coordination of Law Enforcement Agencies will also be fully served by the resources of the Government Administration. As you can see, there is nothing to ridicule here, although the opposition still manages to spread speculation - this is their nature and it is not interesting,” Prime Minister Irakli Kobakhidze told journalists.","Just like the Prime Minister, the Vice Prime Minister, and the State Minister for Coordination of Law Enforcement Agencies will be served by the entire government administration resources - as you can see, there is nothing shady here, although the opposition manages to spread speculation here too - this is their nature and it is not interesting, - Prime Minister Irakli Kobakhidze told journalists.","""Just as with the Prime Minister, the Vice Prime Minister and the State Minister for the Coordination of Law Enforcement Agencies will be served entirely by the resources of the Government Administration—as you can see, there is nothing to mock here, though the opposition still manages to spread speculations; this is their true face and it is not interesting,"" Prime Minister Irakli Kobakhidze told journalists.","Just like the Prime Minister, the Deputy Prime Minister and the State Minister for Coordination of Law Enforcement Agencies will also be fully served by the resources of the Government Administration — you can see for yourselves that there is nothing to mock here, although the opposition is once again managing to spread speculation — that is their style and it is not interesting,” Prime Minister Irakli Kobakhidze said in a statement to journalists.",,,
11,1,Ge Original Ipn News,4,"მისივე თქმით, ახალი სტრუქტურული ერთეულის შექმნის მიზანი სამართალდამცავი სისტემის კიდევ უფრო მეტად გაძლიერებაა.","According to him, the purpose of creating the new structural unit is to further strengthen the law enforcement system.","According to him, the goal of creating a new structural unit is to further strengthen the law enforcement system.","According to him, the goal of creating the new structural unit is to further strengthen the law enforcement system.","According to him, the purpose of creating the new structural unit is to further strengthen the law enforcement system.",,,
12,1,Ge Original Ipn News,5,"„ეს ცვლილებები ემსახურებოდა სამართალდამცავი სისტემის კიდევ უფრო მეტად გაძლიერებას. გაჩნდა ახალი რგოლი - კოორდინაციის რგოლი. ამ ფუნქციას მამუკა მდინარაძე მანამდეც ასრულებდა, მაგრამ კონკრეტული უწყებიდან. ეს იყო ფაქტობრივი მდგომარეობა. ჩვენ გადავწყვიტეთ იმ მოცემულობის ფორმალიზება, რაც სწორია, რაც მანამდეც იყო ჩამოყალიბებული. რეალურად, იქნება დამოუკიდებელი სტრუქტურები. ბუნებრივია, ეს არის შინაგან საქმეთა სამინისტრო, სახელმწიფო უსაფრთხოების სამსახური, სახელმწიფო დაცვის სპეციალური სამსახური და მათ საერთო კოორდინაციას უზრუნველყოფს. სახელმწიფო მინისტრი ახალი თანამდებობა არის ამისთვის განკუთვნილი, რაც კიდევ უფრო გააძლიერებს დანაშაულის წინააღმდეგ ბრძოლას, საზოგადოებრივი წესრიგის დაცვაზე ზრუნვას. თქვენ იცით რომ ამ ერთი წლის განმავლობაში ყველა მიმართულებით გვაქვს ფუნდამენტური ცვლილებები,“ - განაცხადა კობახიძემ.","“These changes were aimed at strengthening the law enforcement system even further. A new link has been created - a coordination link. Mamuka Mdinaradze had already been performing this function before, but from a specific agency. That was the factual situation. We decided to formalize what already existed, which was the correct approach. In reality, the structures will remain independent - namely, the Ministry of Internal Affairs, the State Security Service, and the Special State Protection Service - and overall coordination will be ensured. The position of State Minister is designed for this purpose and will further strengthen the fight against crime and the maintenance of public order. As you know, over the past year we have implemented fundamental changes in all directions,” Kobakhidze said.","""These changes served to further strengthen the law enforcement system. A new link emerged - the link of coordination. Mamuka Mdinaradze had performed this function before, but from a specific agency. This was the actual situation. We decided to formalize the given situation, which is correct, which had been established before. In reality, there will be independent structures. Naturally, these are the Ministry of Internal Affairs, the State Security Service, the Special State Protection Service, and they will ensure their overall coordination. The new position of State Minister is intended for this, which will further strengthen the fight against crime and care for the protection of public order. You know that during this year we have had fundamental changes in all directions,"" Kobakhidze said.","“These changes served to further strengthen the law enforcement system. A new tier has emerged—the coordination tier. Mamuka Mdinaradze was performing this function even before, but from a specific agency. This was the de facto situation. We decided to formalize this reality, which is correct and was already established. In reality, there will be independent structures. Naturally, these are the Ministry of Internal Affairs, the State Security Service, and the Special State Protection Service, and [the new role] will ensure their overall coordination. The new position of State Minister is intended for this purpose, which will further strengthen the fight against crime and the effort to maintain public order. You know that during this past year, we have had fundamental changes in all directions,” Kobakhidze stated.","“These changes were aimed at further strengthening the law enforcement system. A new link has emerged — the coordination link. Mamuka Mdinaradze had already been performing this function before, but from a specific agency. That was the factual situation. We decided to formalize the arrangement that is correct and that had already been established before. In reality, there will be independent structures. Naturally, these are the Ministry of Internal Affairs, the State Security Service, and the Special State Protection Service, and it will ensure their overall coordination. The position of state minister is a new post designated for this purpose, which will further strengthen the fight against crime and the protection of public order. You know that over this one-year period we have had fundamental changes in all directions,” Kobakhidze said.",,,
13,1,Ge Original Ipn News,6,"ამასთან, პრემიერმა პატიმრობაში მყოფ სუს-ის ყოფილ ხელმძღვანელ, გრიგოლ ლილუაშვილსა და მამუკა მდინარაძეს შორის პარალელების შესახებ დასმულ კითხვას უპასუხა და აღნიშნა, რომ „მაშინ სხვაგვარად წარიმართა პროცესები, ახლა სხვანაირად წარიმართება“.","He also responded to a question about comparisons between former head of the State Security Service, Grigol Liluashvili, who is currently in detention, and Mamuka Mdinaradze, stating that “the processes developed differently then, and will develop differently now.”","In addition, the Prime Minister responded to a question about the parallels between the imprisoned former head of the State Security Service, Grigol Liluashvili, and Mamuka Mdinaradze, noting that ""the processes were conducted differently then, and they will be conducted differently now.""","Furthermore, the Prime Minister responded to a question regarding parallels between the imprisoned former head of the State Security Service (SSG), Grigol Liluashvili, and Mamuka Mdinaradze, noting that “back then, processes unfolded differently; now, they are unfolding differently.”","At the same time, the Prime Minister answered a question about parallels between the former head of the State Security Service, Grigol Liluashvili, who is in custody, and Mamuka Mdinaradze, and noted that “back then the processes unfolded differently; now they will unfold differently.”",,,
14,1,Ge Original Ipn News,7,"„მოცემულობა არის რადიკალურად განსხვავებული. კონტექსტი არის სრულიად განსხვავებული. მამუკა მდინარაძე არის გამორჩეულად წარმატებული წევრი ჩვენს გუნდში. კონკრეტულად სახელმწიფო უსაფრთხოების სამსახურში მისი საქმიანობა იყო გამორჩეულად წარმატებული, მათ შორის, კორუფციის მიმართულებით, ტერორისტული დანაშაულის მიმართულებით. ძალიან მნიშვნელოვანი სისტემური ცვლილებები განახორციელა. ეს არის განსხვავებული ფონი, შესაბამისად, განსხვავებულ ფონზე სამომავლო განვითარებაც იქნება განსხვავებული,“ - განაცხადა კობახიძემ.","“The situation is radically different, and the context is entirely different. Mamuka Mdinaradze is an exceptionally successful member of our team. His work in the State Security Service was particularly successful, including in combating corruption and terrorist crimes. He implemented very important systemic changes. This is a different background, and accordingly, future developments will also be different,” Kobakhidze said.","""The commitment is radically different. The context is completely different. Mamuka Mdinaradze is an exceptionally successful member of our team. Specifically, his work in the State Security Service was exceptionally successful, including in the direction of corruption, in the direction of terrorist crimes. He implemented very important systemic changes. This is a different background, therefore, future development will also be different in a different background,"" Kobakhidze said.","“The situation is radically different. The context is completely different. Mamuka Mdinaradze is an exceptionally successful member of our team. Specifically, his work in the State Security Service was exceptionally successful, including in the areas of anti-corruption and terrorist crime. He implemented very significant systemic changes. This is a different background; accordingly, against this different background, future development will also be different,” Kobakhidze stated.","“The situation is radically different. The context is completely different. Mamuka Mdinaradze is an exceptionally successful member of our team. Specifically, his work in the State Security Service was exceptionally successful, including in the areas of corruption and terrorist crime. He implemented very important systemic changes. This is a different background, and therefore future developments will also be different,” Kobakhidze said.",,,
15,1,Ge Original Ipn News,8,"პარლამენტი დაჩქარებული წესით იხილავს კანონის პროექტს, რომლის საფუძველზეც საქართველოს მთავრობის შემადგენლობაში სამართალდამცავი ორგანოების კოორდინაციის საკითხებში სახელმწიფო მინისტრის თანამდებობის შემოღება ხდება. პროექტის მიხედვით, ახალი სახელმწიფო მინისტრის საქმიანობას მატერიალურ-ტექნიკურად და ორგანიზაციულად მთავრობის ადმინისტრაცია უზრუნველყოფს.","Parliament is considering, under an accelerated procedure, a draft law introducing the position of State Minister for Coordination of Law Enforcement Agencies within the Government of Georgia. According to the draft, the Government Administration will provide material, technical, and organizational support for the new State Minister.","The Parliament will consider an accelerated draft law on the basis of which the position of State Minister for Coordination of Law Enforcement Agencies will be introduced within the Government of Georgia. According to the draft, the activities of the new State Minister will be provided materially, technically and organizationally by the Government Administration.","Parliament is considering a bill under an expedited procedure to establish the position of State Minister for the Coordination of Law Enforcement Agencies within the Government of Georgia. According to the draft, the Government Administration will provide logistical and organizational support for the new State Minister's activities.","Parliament is considering, under an expedited procedure, a draft law that would introduce the position of State Minister for Coordination of Law Enforcement Agencies within the composition of the Government of Georgia. According to the draft, the Government Administration will provide the new State Minister’s activities with material, technical, and organizational support.",,,
16,1,Ge Original Ipn News,9,"მთავრობის საპარლამენტო მდივნის ვახტანგ ბაჩიაშვილის ინფორმაციით, სახელმწიფო მინისტრის უფლებამოსილებები მთავრობის დადგენილებაში დაზუსტდება. მისივე თქმით, სამართალდამცავი ორგანოების კოორდინაციის საკითხებში სახელმწიფო მინისტრი მთავრობის ადმინისტრაციის შენობაში განთავსდება.","According to Government Parliamentary Secretary Vakhtang Bachiashvili, the State Minister’s powers will be specified in a government decree, and the minister will be based in the Government Administration building.","According to the Parliamentary Secretary of the Government, Vakhtang Bachiashvili, the powers of the State Minister will be specified in a government resolution. According to him, the State Minister for Coordination of Law Enforcement Agencies will be located in the Government Administration Building.","According to Vakhtang Bachiashvili, the Parliamentary Secretary of the Government, the powers of the State Minister will be specified in a government decree. He also stated that the State Minister for the Coordination of Law Enforcement Agencies will be located in the Government Administration building.","According to the Parliamentary Secretary of the Government, Vakhtang Bachiashvili, the powers of the State Minister will be specified in a government decree. He also said that the State Minister for coordination of law enforcement agencies will be located in the Government Administration building.",,,
17,2,Ge Original Ipn News,1,IPN_news2,IPN_news2,IPN_news2,**IPN_news2**,IPN_news2,,,
18,2,Ge Original Ipn News,2,"გიორგი შარაშიძე - რა ვიცე-პრემიერობაზე და სახელმწიფო მინისტრობაზეა საუბარი, კაბინეტსაც კი არ აძლევენ ნორმალურს, აპარატიც არ ექნება და მდივანიც არ ეყოლება - მდინარაძეს ვურჩევდი, ამ კაბინეტზეც ძალიან ნუ ჩაიციკლება და დისტანციურად იმუშაოს (28.04.2026, 12:04)","Giorgi Sharashidze: What vice premiership or state minister position are we talking about, when he won’t even be given a proper office, won’t have an apparatus, and won’t even have a secretary? I would advise Mdinaradze not to obsess over the office and to work remotely instead (28.04.2026, 12:20)","Giorgi Sharashidze - What kind of Vice Prime Minister and State Minister are we talking about? They don't even give him a normal cabinet, he won't have an office or a secretary - I would advise Mdinaradze not to get too carried away with this cabinet and to work remotely (28.04.2026, 12:04)","Giorgi Sharashidze - What talk of Vice-Premiership and State Ministership is there? They aren't even giving him a proper office; he won't have a staff or even a secretary. I would advise Mdinaradze not to get too fixated on this office and just work remotely. (28.04.2026, 12:04)","Giorgi Sharashidze - What kind of deputy prime ministership and state minister position are we talking about? They won’t even give him a proper office; he won’t have an apparatus, and he won’t even have a secretary. I would advise Mdinaradze not to get too fixated on this office either and to work remotely (28.04.2026, 12:04)",,,
19,2,Ge Original Ipn News,3,"რა ვიცე-პრემიერობაზე და სახელმწიფო მინისტრობაზეა საუბარი, კაბინეტსაც კი არ აძლევენ ნორმალურს, აპარატიც არ ექნება და მდივანიც არ ეყოლება მდინარაძეს - ვურჩევდი, რომ ამ კაბინეტზეც ძალიან ნუ იქნება ჩაციკლული და დისტანციურად იმუშაოს სახლიდან, - ამის შესახებ პარტია „გახარია საქართველოსთვის” დეპუტატმა, გიორგი შარაშიძემ, სამართალდამცავი ორგანოების კოორდინირებისთვის სახელმწიფო მინისტრის თანამდებობის შექმნაზე საუბრისას განაცხადა. მისი თქმით, გენერალ-კოორდინატორის დანიშვნა არაფერს არ შეცვლის გარდა იმისა, რომ ეს მისი „დროებითი დაკმაყოფილება და პენსიაზე გაშვება იქნება“.","Speaking about the creation of the State Minister position for coordinating law enforcement bodies, “For Georgia” party MP Giorgi Sharashidze said: “What vice premiership or state minister role are we even talking about, when Mamuka Mdinaradze won’t be given a proper office, won’t have an apparatus, and won’t even have a secretary? I would advise him not to fixate too much on the office and to work remotely from home instead.","What kind of Vice Prime Minister and State Minister are we talking about? They don't even give Mdinaradze a normal cabinet, he won't have an office, and he won't have a secretary - I would advise him not to be too busy with this cabinet and to work remotely from home, - Giorgi Sharashidze, an MP from the ""Gakharia for Georgia"" party, said this while talking about the creation of the position of State Minister for the Coordination of Law Enforcement Agencies. According to him, the appointment of a general coordinator will not change anything except that it will be his ""temporary satisfaction and retirement.""","""What talk is there of a Vice-Premiership or a State Minister post? They aren't even giving Mdinaradze a proper office; he won't have a staff or even a secretary. I would advise him not to get too fixated on this office and to work remotely from home,"" stated Giorgi Sharashidze, an MP from the ""Gakharia for Georgia"" party, while discussing the creation of a State Minister position for the coordination of law enforcement agencies. 

According to him, appointing a ""general-coordinator"" will change nothing, other than being his ""temporary satisfaction and a way to send him into retirement.""","“What kind of vice-premiership and state minister position are we talking about? They’re not even giving him a proper office; he won’t even have a staff or a secretary. I would advise Mdinaradze not to get too fixated on this office either and to work remotely from home,” said Giorgi Sharashidze, a member of the “Gakharia for Georgia” party, while speaking about the creation of the position of State Minister for coordinating law enforcement agencies. According to him, appointing a general coordinator will change nothing except that it will be his “temporary appeasement and sending him into retirement.”",,,
20,2,Ge Original Ipn News,4,"„დაგეგმილ ცვლილებებს ჩვენი ქვეყნის მოქალაქეების პრობლემების და საქართველოს უსაფრთხოების საკითხების პრობლემების გადაჭრასთან არანაირი კავშირი არ აქვს. ეს არის არაფორმალური მმართველობის მორიგი გამოვლინება. „ოცნებას“ და იმ 89 დეპუტატს, რომელიც პარლამენტში ზის, არ აქვს, გარდა იმისა, რომ ივანიშვილის გადაწყვეტილებები, რომელსაც მათ არავინ არ უთანხმებს, უბრალოდ „გააპრავონ”. რა ვიცე-პრემიერობაზე და სახელმწიფო მინისტრობაზეა საუბარი, კაბინეტსაც კი არ აძლევენ ნორმალურს, აპარატიც არ ექნება და მდივანიც არ ეყოლება მდინარაძეს. მას ვურჩევდი, რომ ამ კაბინეტზეც ძალიან ნუ იქნება ჩაციკლული და დისტანციურად იმუშაოს მაშინ, სახლიდან.","The planned changes have nothing to do with solving the problems of our citizens or addressing Georgia’s security challenges. This is yet another manifestation of informal governance. ‘Georgian Dream’ and the 89 MPs sitting in parliament have no role other than to justify decisions made by Ivanishvili, which are not even discussed with them.","""The planned changes have nothing to do with solving the problems of our citizens and the security issues of Georgia. This is another manifestation of informal governance. ""Dream"" and the 89 deputies sitting in parliament have nothing to do except to simply ""smash"" Ivanishvili's decisions, which no one agrees with them. What are we talking about as a vice-premier and state minister, they are not even giving him a normal cabinet, he will not have an office, and Mdinaradze will not have a secretary. I would advise him not to be too busy with this cabinet and to work remotely, from home.","""The planned changes have nothing to do with solving the problems of our country's citizens or addressing Georgia's security issues. This is yet another manifestation of informal governance. 'Dream' and the 89 deputies sitting in parliament have no role other than to simply 'rubber-stamp' Ivanishvili's decisions, which are never even coordinated with them. 

What talk is there of a Vice-Premiership or a State Ministership? They aren't even giving Mdinaradze a proper office; he won't even have a staff or a secretary. I would advise him not to get too hung up on this office and just work remotely from home instead.""","“The planned changes have nothing to do with solving the problems of our country’s citizens or the issues of Georgia’s security. This is yet another manifestation of informal governance. ‘Dream’ and the 89 MPs sitting in parliament have no purpose other than to simply ‘justify’ Ivanishvili’s decisions, which no one consults them about. What vice-premiership and state minister position are we talking about? They are not even giving him a proper office; he won’t have an administration, and Mdinaradze won’t even have a secretary. I would advise him not to get too fixated on this office either and to work remotely from home instead.”",,,
